MUN,NOM_MUN,POBTOT,cluster,perfil,p_aguadv,p_drenaj,p_c_elec,p_inter,p_cel,p_autom,GRAPROES,PROM_OCUP
17,Ayapango,10053,0,alto,0.9776148205326128,0.9868776534156696,0.9965264376688536,0.3759166345040525,0.882284832111154,0.3936703975299112,9.92,3.81
18,Calimaya,68489,0,alto,0.9921734593309756,0.9910719461997796,0.994608383094672,0.5401472549133283,0.901501536320946,0.5567279262565946,10.74,3.96
19,Capulhuac,36921,0,alto,0.9900276342664904,0.99555448756458,0.9975970203051784,0.5383876006247748,0.8649525411510273,0.5347831310825424,10.18,4.42
20,Coacalco de Berriozábal,293444,0,alto,0.9980477247626592,0.996307410836801,0.9990629078860764,0.7570700253237987,0.9287698434833052,0.4846216490590033,11.49,3.27
21,Coatepec Harinas,38643,2,intermedio,0.9705914036410644,0.9208230098028656,0.988796725196596,0.1692340838091134,0.8225789076807066,0.4496391252827749,7.4,4.16
22,Cocotitlán,15107,0,alto,0.922640536358948,0.9930376482723052,0.9940691077875192,0.5180505415162455,0.8764827230531201,0.3829293450232078,10.3,3.89
23,Coyotepec,40885,0,alto,0.9799878098334012,0.9880130028443722,0.996952458350264,0.4318366517675741,0.8883583908980089,0.3711905729378301,9.55,4.14
24,Cuautitlán,178847,0,alto,0.9956166490435452,0.9959627030664232,0.9993847928482168,0.7281168893588388,0.9443814284341056,0.5213111602422378,11.3,3.39
25,Chalco,400057,0,alto,0.924112924112924,0.9778506815543851,0.996114996114996,0.5310848273811237,0.8904332978407052,0.355482651778948,9.75,3.8
26,Chapa de Mota,31737,2,intermedio,0.9624185095232008,0.8160552217819251,0.9818483957561038,0.2031190080531765,0.8331842004346158,0.3783714687460053,8.09,4.04
27,Chapultepec,12772,0,alto,0.9922825764321758,0.9905016325319086,0.9973285841495992,0.5978035025230038,0.9079845651528644,0.5182546749777382,10.69,3.79
28,Chiautla,30045,0,alto,0.9650367694491032,0.9885176106308864,0.9974196877822216,0.4155592826732034,0.8724035608308606,0.4746484324603277,10.04,3.86
29,Chicoloapan,200750,0,alto,0.9820339541783418,0.9922348588905372,0.9968316759152428,0.6318700437704888,0.9117081479039614,0.3569034668424812,10.14,3.67
30,Chiconcuac,27692,0,alto,0.9662239711428104,0.9919658960485326,0.9981964256435482,0.4526971634694212,0.88293162813576,0.4208886702738154,10.13,4.52
31,Chimalhuacán,705193,2,intermedio,0.9818694936210558,0.9895708004590844,0.997582599149474,0.5099606895136921,0.8622358740068419,0.2684202063661918,9.13,3.9
32,Donato Guerra,37436,1,bajo,0.8720227515108425,0.7978433463680531,0.9681241853300154,0.0856736580163526,0.7051783386657187,0.2221827230714539,7.02,4.36
33,Ecatepec de Morelos,1645352,0,alto,0.98948597087942,0.9947976646401886,0.9984600551701974,0.6485354901488167,0.8962077184713034,0.4152829481239454,10.22,3.67
34,Ecatzingo,10827,2,intermedio,0.975258493353028,0.9191285081240768,0.991506646971935,0.2019940915805022,0.8083456425406204,0.2555391432791728,8.89,3.99
35,Huehuetoca,163244,0,alto,0.9872249060654856,0.9962211486849168,0.9984755770263016,0.4830488459473966,0.9432313472893183,0.3359098228663446,9.98,3.5
